step,rows_before,rows_after,removed,note
raw,45957,45957,0,as distributed
filter_status,45957,41965,3992,"dropped live (no outcome yet), canceled, suspended"
unescape_html,41965,41965,0,Film &amp; Video -> Film & Video
filter_us,41965,38533,3432,"state_raw in US whitelist, case-insensitive; codes upper-cased"
parse_dates,38533,38533,0,recovered launch_date = end - duration
drop_missing_required,38533,38533,0,"dropna on modelling columns only: goal, duration, levels, category, subcategory, city, state_raw, status"
drop_missing_reward_levels,38533,38492,41,needed for tier features
dedupe_project_id,38492,38379,113,DEVIATION: original project kept duplicates
drop_goal_sentinel,38379,38378,1,int32 overflow artefact
add_target,38378,38378,0,success = 1 if status == 'successful'
