,success_rate,n,ci95,lift_vs_base,dimension
Art,0.5653021442495126,2565,0.019184321856246096,0.017943665974481715,category
Comics,0.5421853388658368,723,0.03631663956891094,-0.005173139409194172,category
Dance,0.7669322709163346,502,0.036984844004622736,0.21957379264130372,category
Design,0.46547314578005117,1173,0.0285455979674095,-0.08188533249497976,category
Fashion,0.3351063829787234,752,0.033737630932876496,-0.2122520952963075,category
Film & Video,0.5084390512961942,9065,0.010291538518975112,-0.03891942697883677,category
Food,0.5091093117408907,988,0.031172778690651742,-0.03824916653414023,category
Games,0.428310502283105,1095,0.02930950477946478,-0.1190479759919259,category
Music,0.6762316561844863,7632,0.0104978854860359,0.1288731779094554,category
Photography,0.4345372460496614,886,0.03264034317574027,-0.11282123222536955,category
Publishing,0.39476300961219757,3017,0.01744212415148652,-0.15259546866283336,category
Technology,0.3939393939393939,528,0.04167847733102377,-0.153419084335637,category
Theater,0.706081081081081,1776,0.021187301607396812,0.1587226028060501,category
<=20d,0.6779661016949152,2124,0.019871634915507187,0.1306076234198843,duration
21-30d,0.5650329452116617,11079,0.009231469891116107,0.017674466936630773,duration
31-45d,0.5859508852084523,8755,0.010317738906818776,0.038592406933421364,duration
46-60d,0.4730617608409987,5327,0.013407675886206206,-0.07429671743403221,duration
>60d,0.42581211589113255,3417,0.01657943022499103,-0.12154636238389838,duration
0,0.20364920541494996,10194,0.00781766984771937,-0.34370927286008096,updates
1,0.4355179704016913,3784,0.01579823637933446,-0.1118405078733396,updates
2-3,0.6411073491336388,5021,0.013268096482875072,0.09374887085860784,updates
4-6,0.7836894001643385,4868,0.01156622599321588,0.2363309218893076,updates
7-12,0.8650756143667296,4232,0.010293320639777661,0.3177171360916987,updates
13+,0.9166346523242412,2603,0.010619642717542094,0.3692761740492103,updates
1-3,0.36260932944606417,2744,0.01798814401495151,-0.18474914882896676,reward_tiers
4-5,0.48465423465423463,5148,0.013652184975856543,-0.0627042436207963,reward_tiers
6-7,0.5508596928730805,7619,0.011169110773007295,0.003501214598049529,reward_tiers
8-10,0.5696106156188819,9194,0.010121004881369544,0.02225213734385101,reward_tiers
11-15,0.6300491558025219,4679,0.013833713500682337,0.08269067752749093,reward_tiers
16+,0.7078907435508346,1318,0.024550149582572598,0.16053226527580367,reward_tiers
